date,mogden-rainfall,deephams-rainfall,beckton-rainfall,crossness-rainfall,riverside-rainfall,longreach-rainfall,beddington-rainfall,hogsmill-rainfall
1900-07-12,0.000944799,0.001135984,0.000217868,1.55E-05,0,0,0,0
1900-07-13,0.010498407,0.043801738,0.023157795,0.011621121,0.03422896,0.004110718,0.007112576,0.011406156
1900-07-14,0,0,0,0.000401298,0,0.001774737,0.001455032,0.000752992
1900-07-15,0,0,0.000270052,0.003292675,0.009843597,0.007604764,0.004162099,0.000661335
1900-07-16,0.423223573,4.696054373,2.096454569,0.767632438,3.605315298,0.480403607,0.298738237,0.277964972
1900-07-17,0.022433196,0.055688914,0.092730856,0.172915422,0.121443842,0.103953765,0.763637899,0.579958638
1900-07-18,0,0,0,0,0,0,0,0
1900-07-19,0,0,0,0,0,0,0,0
1900-07-20,0.02114098,0.238266801,0.106418523,0.033343646,0.190661841,0.007509038,0.003982034,0.005661249
1900-07-21,0.004499946,0.070589903,0.033853693,0.010077142,0.069437453,0.005424775,0.001044068,0.00206083
1900-07-22,0,0,0,0,0,0,0,0
1900-07-23,0,0,0,0,0,0,0,0
1900-07-24,0,0,0,0,0,0,0,0
1900-07-25,0,0,0,0,0,0,0,0
1900-07-26,0,0,0,0,0,0.002434215,0,0
1900-07-27,11.36025403,10.24530651,9.559336807,9.281934905,6.971937478,2.736501634,7.93570689,10.88630016
1900-07-28,0,0,0,0,0,0.00978805,0,0
1900-07-29,4.765134034,5.365715012,3.510977313,2.754458267,2.424276269,0.922110681,4.207011846,4.212530228
1900-07-30,0,0,0,0,0,0,0,0
1900-07-31,1.915925785,2.077054928,1.946147803,1.695446816,1.694730274,0.29108833,0.392754558,1.399314572
1900-08-01,6.474125571,7.845697854,6.503577552,5.956142662,6.34988932,5.791452803,6.582514332,5.779918602
1900-08-02,2.065144325,2.692501382,1.87085228,1.397764044,1.635468391,0.474180933,1.378262374,1.520897135
1900-08-03,14.5935661,15.02754699,13.02119483,11.77591548,11.64104379,11.91404747,11.50545117,10.27852699
1900-08-04,0.073644663,0.044682131,0.060696108,0.062272485,0.035747004,0.01446494,0.020913413,0.053987393
1900-08-05,5.246621998,4.365516829,4.436835645,4.424019435,3.405377785,2.838591202,4.036628043,4.445874416
1900-08-06,7.270633821,7.898114717,7.222808098,7.009613825,7.054980656,7.181501699,9.368398283,7.551878027
1900-08-07,1.395664505,0.89016802,1.472887121,1.839412165,1.426980127,1.920582345,2.476065989,2.046926251
1900-08-08,0.009345863,0.085201136,0.071288355,0.077725102,0.116637811,0.243341265,0.120166202,0.038649569
1900-08-09,7.349866664,9.013082858,8.150269283,7.938453735,8.771453607,10.54282375,10.59467267,7.819881964
1900-08-10,2.17457305,2.073664386,1.822778056,1.654817245,1.353311338,0.472712272,1.213692852,1.677810359
1900-08-11,0,0,0,0,0,0,0,0
1900-08-12,0,0,0,0,0,0,0,0
1900-08-13,0,0,0,0,0,0,0,0
1900-08-14,0,0,0,0,0,0,0,0
1900-08-15,0,0,0,0,0,0,0,0
1900-08-16,0,0,0,0,0,0,0,0
1900-08-17,2.751516516,3.50605684,2.142038272,1.706723165,1.667856819,0.857338524,5.260167721,3.859548109
1900-08-18,0.034945838,0.182500056,0.184015128,0.163891258,0.341134155,0.214172605,0.258311694,0.093234048
1900-08-19,0,0,0,0,0,0.000128003,0,0
1900-08-20,5.173363203,6.737603113,7.096820957,7.714561739,9.565476324,19.15414927,12.65991078,5.910875128
1900-08-21,4.254128141,5.570354875,4.951456639,4.549559331,5.82030201,8.474410073,4.393322034,2.522499192
1900-08-22,7.689791195,4.621811274,5.907767034,6.390336285,3.712097482,3.436749183,3.649462437,5.67374305
1900-08-23,5.750057132,2.835598156,5.084206214,6.273603631,3.937305647,5.816534,5.503339832,5.940695261
1900-08-24,0.93878557,1.530796849,0.771554465,0.318161511,0.683223218,0.100942579,0.076057165,0.135675281
1900-08-25,1.059090664,1.266369267,1.300129295,1.175212908,1.333405113,0.497923609,0.672373945,0.941974211
1900-08-26,0.000518487,9.21E-05,0.001538252,0.002229866,0.001305014,0.007548774,0.003614219,0.003422622
1900-08-27,0.417301959,0.790823026,1.713774795,2.434428841,2.967246701,5.552615076,5.176096493,2.575529374
1900-08-28,0.082604634,0.147963879,0.350168816,0.470871321,0.637763752,1.410102669,0.672805011,0.193277905
1900-08-29,0,0,0,0,0,0,0,4.19E-05
1900-08-30,0.064153109,0.022552283,0.04280139,0.050810631,0.016406004,0.010716075,0.013276157,0.045437367
1900-08-31,9.620806928,8.457091177,7.193945872,6.256790094,4.479710262,1.245916292,3.268931676,5.90141662
1900-09-01,0.574603651,1.033487915,1.589486963,2.151701464,2.52560078,5.495354904,5.110169668,2.59861622
1900-09-02,0.004361332,0.043446019,0.06487219,0.080252949,0.129471392,0.322022913,0.132652037,0.02959292
1900-09-03,0.065528883,0.02387794,0.043408866,0.052330666,0.016523908,0.00748,0.014731079,0.050124009
1900-09-04,0,0,0,0,0,0,0,0
1900-09-05,0.065528883,0.02387794,0.043408866,0.052330666,0.016523908,0.00748,0.014731079,0.050124009
1900-09-06,0.010072282,0.113717763,0.039753145,0.013577082,0.049275587,0.007299221,0.00429602,0.004717439
1900-09-07,0.002684696,0.061545172,0.02738776,0.006896808,0.061966794,0.004541283,0.000788421,0.00144953
1900-09-08,0.002896407,0.008049001,0.005040717,0.002630737,0.005793853,0.001273581,0.001132514,0.001594708
1900-09-09,0,0,0,0,0,0,0,0
1900-09-10,0.00031357,0,0,0.000349087,0,0.000160471,0.00130529,0.001902569
1900-09-11,0,0,0,0,0,0,0,0
1900-09-12,0.065528883,0.02387794,0.043408866,0.052330666,0.016523908,0.00748,0.014731079,0.050124009
1900-09-13,0,0,0,0,0,0,0,0
1900-09-14,0,0,0,0,0,0,0,0
1900-09-15,0.004737898,0.032204463,0.016447518,0.006655683,0.02605352,0.003970704,0.00165218,0.002608696
1900-09-16,0.674533055,0.39674963,0.58531751,0.652035531,0.453247193,0.265473284,0.373607332,0.583608941
1900-09-17,0.002896407,0.008049001,0.005040717,0.002630737,0.005793853,0.001273581,0.001132514,0.001594708
1900-09-18,0.025891829,0.08896306,0.107494212,0.188362089,0.14813041,0.124337545,0.940165509,0.65205165
1900-09-19,0,0,0,0,0,0,0,0
1900-09-20,0,0,0,0,0,0,0,0
1900-09-21,0,0,0,0,0,0,0,0
1900-09-22,0,0,0,0,0,0,0,0
1900-09-23,0.003095076,0.008049001,0.005040717,0.003047655,0.005793853,0.002233889,0.002445976,0.002655702
1900-09-24,1.942343637,1.691170056,1.950002092,2.164396601,1.829406469,2.549604656,2.445355017,2.141063565
1900-09-25,0.008735308,0.072823343,0.038215103,0.015622554,0.058070739,0.006717828,0.001165337,0.003606756
1900-09-26,2.279781349,2.975556522,1.800297977,1.256864616,1.362004123,0.4343485,1.608462891,1.618757519
1900-09-27,8.436061773,7.498897256,8.614001444,9.751467595,8.703814419,15.15415304,14.15119805,10.16789012
1900-09-28,0.56013361,0.359226162,0.693184331,0.915219916,0.776365139,1.546083143,1.335488921,0.924516621
1900-09-29,0.17061317,0.264048576,0.1273722,0.054729379,0.108813961,0.020515345,0.026079028,0.036727695
1900-09-30,4.465120918,4.986492048,4.49481631,4.636893588,4.384492513,6.411737377,7.818334526,5.717658657
1900-10-01,0.012290677,0.107671916,0.053719332,0.033356063,0.073062864,0.032997146,0.038939234,0.024281292
1900-10-02,0.036936629,0.194409013,0.113211251,0.063326284,0.178963394,0.055368478,0.047773595,0.038233409
1900-10-03,0.008386866,0.06584516,0.16573844,0.232715711,0.335800217,0.943448643,0.39606863,0.076865402
1900-10-04,10.46831636,10.92123128,9.300967805,8.591187098,8.359197365,7.890077681,10.13376398,9.441763369
1900-10-05,2.098453287,2.223419022,2.356443377,2.589769294,2.613243988,4.055726043,4.623955743,3.212517994
1900-10-06,0.227966618,0.637463917,0.450835513,0.445092739,0.613754104,0.748283583,1.299616653,0.77272796
1900-10-07,0.0673319,0.031073241,0.046967661,0.052397181,0.022104518,0.008089745,0.015679345,0.051273473
1900-10-08,0.003178285,0.008401888,0.005347974,0.002741536,0.006184257,0.001756183,0.001190087,0.001727532
1900-10-09,0.537149053,0.704335887,0.42911939,0.262978008,0.345388777,0.067002568,0.076528116,0.193749828
1900-10-10,0.067150176,0.031073241,0.046967661,0.052196634,0.022104518,0.008004997,0.015191791,0.050643295
1900-10-11,0,0,0,0,0,0,0,0
1900-10-12,0,0,0,0,0,0.0002494,0,0
1900-10-13,1.789673165,2.107043589,1.15749508,0.595229368,0.806775714,0.164200786,0.178749143,0.393034892
1900-10-14,0.430618966,0.381107222,0.506580343,0.628244562,0.52199456,0.779695709,1.137118721,0.900482647
1900-10-15,0,0,0,0,0,0,0,0
1900-10-16,0.792376784,0.952876166,0.67223571,0.565444105,0.543612602,0.365575942,0.880299801,0.803681439
1900-10-17,0.076720841,0.142390409,0.09856289,0.070657366,0.126470075,0.02730385,0.028563751,0.061697403
1900-10-18,0.514945332,0.891753376,0.785525481,0.806749387,0.991507693,1.255021191,1.665836229,1.093321463
